Runtime,Processor,MatrixSize,MatrixOperation,Trial
0.00341177,CPU,10,Addition,1
0.006412983,CPU,10,Addition,2
0.003450394,CPU,10,Addition,3
0.003098965,CPU,10,Addition,4
0.002490997,CPU,10,Addition,5
0.002594948,CPU,20,Addition,1
0.002218962,CPU,20,Addition,2
0.002200365,CPU,20,Addition,3
0.002383232,CPU,20,Addition,4
0.002140999,CPU,20,Addition,5
0.00238657,CPU,40,Addition,1
0.002449512,CPU,40,Addition,2
0.00235939,CPU,40,Addition,3
0.002714396,CPU,40,Addition,4
0.002670765,CPU,40,Addition,5
0.003303528,CPU,80,Addition,1
0.00323081,CPU,80,Addition,2
0.003203392,CPU,80,Addition,3
0.00312686,CPU,80,Addition,4
0.003218889,CPU,80,Addition,5
0.00602293,CPU,160,Addition,1
0.005866289,CPU,160,Addition,2
0.005935192,CPU,160,Addition,3
0.005800247,CPU,160,Addition,4
0.005763054,CPU,160,Addition,5
0.068324089,CPU,320,Addition,1
0.070640326,CPU,320,Addition,2
0.069456577,CPU,320,Addition,3
0.064506292,CPU,320,Addition,4
0.06643939,CPU,320,Addition,5
0.285381079,CPU,640,Addition,1
0.29027462,CPU,640,Addition,2
0.274849176,CPU,640,Addition,3
0.279528141,CPU,640,Addition,4
0.281680346,CPU,640,Addition,5
1.506005049,CPU,1280,Addition,1
1.511166096,CPU,1280,Addition,2
1.488343716,CPU,1280,Addition,3
1.514571428,CPU,1280,Addition,4
1.502827168,CPU,1280,Addition,5
7.100827456,CPU,2560,Addition,1
7.014891386,CPU,2560,Addition,2
7.013433695,CPU,2560,Addition,3
6.992981911,CPU,2560,Addition,4
7.059266806,CPU,2560,Addition,5
0.005617142,CPU,10,Multiplication,1
0.003096581,CPU,10,Multiplication,2
0.003033638,CPU,10,Multiplication,3
0.003046989,CPU,10,Multiplication,4
0.00304389,CPU,10,Multiplication,5
0.003424406,CPU,20,Multiplication,1
0.003337622,CPU,20,Multiplication,2
0.003774405,CPU,20,Multiplication,3
0.003392458,CPU,20,Multiplication,4
0.003380299,CPU,20,Multiplication,5
0.004945993,CPU,40,Multiplication,1
0.004929781,CPU,40,Multiplication,2
0.005309582,CPU,40,Multiplication,3
0.004963636,CPU,40,Multiplication,4
0.004901171,CPU,40,Multiplication,5
0.019938231,CPU,80,Multiplication,1
0.02022171,CPU,80,Multiplication,2
0.023868322,CPU,80,Multiplication,3
0.020335197,CPU,80,Multiplication,4
0.019970179,CPU,80,Multiplication,5
0.124721527,CPU,160,Multiplication,1
0.13569808,CPU,160,Multiplication,2
0.133261681,CPU,160,Multiplication,3
0.129945755,CPU,160,Multiplication,4
0.126335859,CPU,160,Multiplication,5
1.292713642,CPU,320,Multiplication,1
1.31125021,CPU,320,Multiplication,2
1.316440582,CPU,320,Multiplication,3
1.276812792,CPU,320,Multiplication,4
1.316417694,CPU,320,Multiplication,5
7.708441973,CPU,640,Multiplication,1
7.677559376,CPU,640,Multiplication,2
7.627517223,CPU,640,Multiplication,3
7.670943022,CPU,640,Multiplication,4
7.582685947,CPU,640,Multiplication,5
57.70625234,CPU,1280,Multiplication,1
57.62581277,CPU,1280,Multiplication,2
57.47904563,CPU,1280,Multiplication,3
57.66292953,CPU,1280,Multiplication,4
57.63210702,CPU,1280,Multiplication,5
445.630151,CPU,2560,Multiplication,1
444.7215564,CPU,2560,Multiplication,2
444.3415678,CPU,2560,Multiplication,3
443.7048469,CPU,2560,Multiplication,4
444.3911526,CPU,2560,Multiplication,5
0.057214975,CPU,10,Invertion,1
0.008264065,CPU,10,Invertion,2
0.008229494,CPU,10,Invertion,3
0.008220911,CPU,10,Invertion,4
0.0082829,CPU,10,Invertion,5
0.064229965,CPU,20,Invertion,1
0.020649672,CPU,20,Invertion,2
0.019410372,CPU,20,Invertion,3
0.019216061,CPU,20,Invertion,4
0.018935919,CPU,20,Invertion,5
0.040794611,CPU,40,Invertion,1
0.039703846,CPU,40,Invertion,2
0.035734653,CPU,40,Invertion,3
0.036201715,CPU,40,Invertion,4
0.03874135,CPU,40,Invertion,5
0.101837397,CPU,80,Invertion,1
0.114293575,CPU,80,Invertion,2
0.097126007,CPU,80,Invertion,3
0.09642458,CPU,80,Invertion,4
0.095008373,CPU,80,Invertion,5
0.346787691,CPU,160,Invertion,1
0.354115486,CPU,160,Invertion,2
0.349822283,CPU,160,Invertion,3
0.350846529,CPU,160,Invertion,4
0.350246906,CPU,160,Invertion,5
1.706526279,CPU,320,Invertion,1
